,Question,Answer
0,Abraham Lincoln sixteenth President United States,yes
1,Lincoln sign National Banking Act 1863,yes
2,mother die pneumonia,
3,many long Lincolns formal education,18 months
4,Lincoln begin political career,1832
5,Legal Tender Act 1862 establish,United States Note first paper currency United States history
6,suggested Lincoln grow beard,11yearold Grace Bedell
7,Gettysburg address argue America born,1776
8,Lincoln beat John C Breckinridge 1860 election,yes
9,Abraham Lincoln first President United States,
10,Lincoln start political career 1832,Yes
11,Lincoln ever represent Alton Sangamon Railroad,Yes
12,county Lincoln born,Hardin County
13,Lincoln first serve President,March 4 1861
14,assassinated Lincoln,John Wilkes Booth
15,Lincoln win election 1860,Yes
16,general charge Battle Antietam,General McClellan
17,Lincoln issue Emancipation Proclamation,free slaves
18,scholars rank lincoln among top three presidents,Yes
19,lincoln 18 months schooling,Yes
20,Lincoln chosen presidential candidate 1860,Yes
21,old Lincoln 1816,seven
22,first photgraph lincoln taken,1846
23,long Lincolns legal Career,23 years
24,trail Lincoln use Farmers Almanac,defended William Duff Armstrong
25,Abraham Lincoln live Frontier,Yes
26,Lincolns Wifes Family support slavery,Yes
27,noted contributions theory molarity molecular weight,Amedeo Avogadro
28,graduated ecclesiastical law early age 20 began practice,Amedeo Avogadro
29,publish another memoria,1821
30,become professor,1820
31,true became professor 1820,yes
32,Lorenzo Romano Amedeo Carlo Avogadro Italian savant,yes
33,Amedeo Avogadro born Turin August 9th 1776 noble ancient family Piedmont Italy,yes
34,noted contributions theory molarity molecular weight,yes
35,King Victor Emmanuel III pay homage Avogadro,yes
36,Avogadro number commonly used compute results chemical reactions,yes
37,scientific community reserve great attention theory,yes
38,title famous 1811 paper roughly translated english,yes
39,happened 1833,Avogadro recalled Turin university
40,determined dependence boiling water atmospheric pressure,Anders Celsius
41,named,Celsius crater Moon
42,publish collection,1733
43,true published collection 1738,
44,true thermometer 100 freezing point,Yes
45,Celsius born Uppsala Sweden,Yes
46,Anders Celsius November 27 1701 April 25 1744 Swedish astronomer,Yes
47,Celsius crater Moon named,Yes
48,first perform publish careful experiments aiming definition international temperature scale scientific grounds,Anders Celsius
49,Celsius crater Moon,named
50,Celsius crater Moon named,Yes
51,thermometer 100 freezing point water 0 boiling point,Yes
52,Celsius born Uppsala Sweden,Yes
53,determine dependence boiling water atmospheric pressure LRB excellent agreement modern data RRB,Yes
54,happened 1730 1744,professor astronomy Uppsala University
55,happened 1745,scale reversed
56,beetles insects,Yes
57,beetles found polar regions,
58,beetles antennae function primarily organs smell,Yes
59,three sections beetle,head thorax abdomen
60,defense mechanism uses colour shape deceive potential enemies,mimicry
61,type beetle pest potato plants,Colorado potato beetle
62,beetle larvae differentiated insect larvae,hardened often darkened head presence chewing mouthparts spiracles along sides body
63,beetles eat,generalists eating plants animals beetles highly specialised diet
64,similarities beetles grasshoppers,mouthparts
65,certain species beetles considered pests,Yes
66,beetles general anatomy uniform,Yes
67,beetles endopterygotes,yes
68,many species beetles,350000
69,sperm cells transferred female,pairing
70,study beetles called,coleopterology
71,possible 350000 species beetles,yes
72,Adephaga suborder larger Polyphaga suborder,
73,carrion beetles eat dung,
74,prey various animals including birds mammals,Beetles
75,given Aristotle hardened shield like forewings,name Coleoptera
76,vary greatly form within coleoptera,Antennae
77,many beetles territorial,Yes
78,beetles endopterygotes complete metamorphosis,Yes
79,Oxygen,One kind gas obtained via tracheal system
80,thriving industry collection beetle specimens amateur professional collectors,Yes
81,coleopterists formed organisations facilitate study beetles,Yes
82,study beetles called coleopterology practitioners coleopterists,Yes
83,May single female lay several dozen several thousand eggs lifetime,Yes
84,beetles found almost habitats,Yes
85,happened plants fungi,food beetles
86,Calvin Coolidge twentyninth vice president,
87,Calvin Coolidge born Plymouth Windsor County Vermont,yes
88,Coolidge graduate Black River Academy,yes
89,drop John name,upon graduating college
90,Coolidge meet marry Grace Anna Goodhue,1905
91,period rapid economic growth United States experience Coolidges presidency,Roaring Twenties
92,Coolidge graduating Amherst,Coolidge moved Northampton MassachuS08_setts
93,state Coolidge governor,MassachuS08_setts
94,appointed Harlan Fiske Stone Supreme Court,Coolidge
95,Coolidge thirteenth President United States,
96,Calvin Coolidge Republican,Yes
97,Calvin Coolidge governor MassachuS08_setts,Yes
98,Coolidge born,July 4 1872
99,Coolidges grandfather government offices,Plymouth
100,state Coolidge born,Plymouth Windsor County Vermont
101,Calvin Jr older John Coolidge,
102,Coolidge get Amherst College,Yes
103,caused Calvin Jrs death,heart attack
104,John Calvin Coolidge Jr born Las Vegas,
105,Coolidge opposed Republican nomination Governor MassachuS08_setts 1918,Yes
106,Coolidge meet marry Grace Anna Goodhue,Yes
107,year Coolidge open law office,1898
108,fraternity Coolidge member,Phi Gamma Delta
109,1905 Coolidge met married,Grace Anna Goodhue
110,Coolidge attend law school,expensive
111,US presidents visited Cuba,
112,years Coolidges two sons born,1906 1908
113,France cede nearly colonies Europe 1763,Yes
114,Canada member OECD,Yes
115,Canadas official language Zulu,
116,one significant nonofficial language,Chinese
117,addition Port Royal else Samuel de Champlain establish S08_settlement,Quebec City
118,Consitution Act formerly called,British North America Act
119,countries established colonies Canada,France Britain
120,Canada helped UN peacekeeping efforts,Suez Crisis 1956 Lester B Pearson eased tensions proposing inception United Nations Peacekeeping Force Canada since served 50 peacekeeping missions including every UN peacekeeping effort 1989
121,percentage population dont speak English French home,28
122,Canada bilingual,Yes
123,Canadian soldiers win Battle Vimy Ridge 1917,Yes
124,official language Canada German,
125,many provinces territories Canada,federation comprising ten provinces three territories
126,Canadas national unemployment rate,October 2007 Canadas national unemployment rate 59 lowest 33 years Provincial unemployment rates vary low 36 Alberta high 146 Newfoundland Labrador
127,densely populated part Canada,densely populated part country Quebec CityWindsor Corridor along Great Lakes Saint Lawrence River southeast
128,largest country world,Canada second largest country world Russia largest continent
129,largest religious group Canada,According 2001 census 771 Canadians identified Christians Catholics make largest group 436 Canadians largest Protestant denomination United Church Canada 165 Canadians declare religious affiliation remaining 63 affiliated religions Christianity largest Islam numbering 19 followed Judaism 11
130,Canada one largest armed forces world,1944
131,inhabited millennia aboriginal peoples,lands
132,European books maps began referring region Canada year,1545
133,Canadas important industry 1800s,fur trade
134,true angered many residents thirteen colonies,yes
135,cuba declining participation relate,Canada maintains full relations
136,true provinces large degree autonomy,yes
137,Canada adopt 1965,Maple Leaf Flag
138,arrived Britain,first Canadian Army units WW II
139,Canada two official languages English French,yes
140,Canada official national sports ice hockey winter lacrosse summer,yes
141,Canada geographically vast ethnically diverse country,yes
142,Mainland Nova Scotia come British rule Treaty Utrecht,
143,Cartier use word Canada refer village entire area subject Donnacona Chief Stadacona,yes
144,continental European immigrants S08_settle prairies,
145,world second largest country total area,yes
146,happened 1867,Canada formed federal semiautonomous polity
147,ducks Arctic Northern Hemisphere migratory,
148,drake male,Yes
149,ducks quack,
150,name specialized species duck adapted catch large fish,smew
151,animal attracts humor silliness,duck
152,economic use duck,Meat
153,Daffy Duck,silly cartoon character
154,makes difficult diving duck fly,heavier
155,reasons hunting wild ducks,Meat eggs feathers
156,ducks forage underwater,yes
157,foie gras often made ducks,yes
158,economic uses ducks,farmed meat eggs feathers also kept bred aviculturists often displayed zoos
159,kind ducks feed land,Dabbling ducks
160,unrelated water birds ducks sometimes confused,loons divers grebes gallinules coots
161,word duck mean,common name number species Anatidae family birds
162,common predators ducks,Pike crocodilians herons hawks eagles
163,Mallards tongue work,tongue flat plate tongues back end short liftable flap 18 short spikes pushing struggling prey food throat
164,diving ducks heavier tha dabbling ducks,Yes
165,adult ducks fast fliers,Yes
166,ducks accepted presence populated areas,Yes
167,types unrelated water birds similar forms ducks sometimes confused,loons divers grebes gallinules coots
168,ducklings particularly vulnerable,inability fly
169,economic uses duck,Meateggsfeathers
170,allows duck filter water side beaks keep food inside,Tiny rows plates called lamellae
171,expression part conceptual framework testing computer systems,Quacks like duck
172,expression sitting duck come,many areas wild duckof various species including ducks farmed released wild hunted food sport shooting formerly decoys
173,Egypt bordered Gaza Strip,yes
174,Egypt populated country Africa,
175,Egypt political influence Middle East,yes
176,Six Day War,1967
177,religions Egypt outlawed,Christianity Islam Judaism
178,poulation Egypt,78 million
179,Egypts population live near Nile,arable agricultural land found
180,large number Jews living Egypt today,
181,period Akhenaten Pharaoh,New Kingdom c155087221070 BC
182,Egypt Asia,
183,Egypt receive least rainfall world,Yes
184,Egypts foreign policy operates along moderate lines,Yes
185,Since Egypt republic,June 18 1953
186,Great Sphinx Pyramids Giza built,Old Kingdom
187,countries border Egypt,Libya Sudan Gaza Strip Israel
188,estimated population Egypt,78 million
189,snow fall Egypt,Yes
190,organized agriculture appear Nile Valley,6000 BC
191,elephants largest land animals alive today,yes
192,elephant kill rhinoceros,yes
193,elephants good swimmers,yes
194,many living species African Elephants,2
195,long may elephants live,70 years
196,phrase elephants never forget metaphorical meaning,refers literally elephants supposedly excellent memory
197,many living species Asian Elephants,1
198,much elephants weight birth,120 kilograms
199,Aristotle say elephants,beast pasS08_seth others wit mind
200,elephant populations West Africa generally small fragmented,yes
201,Asian elephant larger African,
202,elephants skin tough,yes
203,elephants communicate long distances,producing receiving low frequency sound
204,African elephants lie,sick wounded
205,long elephants gestation period,22 months
206,many species African elephants proposed,three
207,elephants ears important,temperature regulation
208,land animal largest brain,elephant
209,elephants mammals,yes
210,elephants used working animals,yes
211,prefer forested areas,Yes
212,world population Asian elephants,60000
213,part elephant important temperature regulation,Ears
214,largest elephant ever recorded shot,Angola
215,Asian elephant smaller African elephant,yes
216,land animal larger elephant,None elephant largest land animal
217,tusklessness become rare abnormality,
218,treaties signed 1947 1948 Ukraine,
219,Finnish member BalticFinnic subgroup Uralic languages,yes
220,read newspaper Finland Taloussanomat,
221,Russian army general conquered Finland 1809,Alexander
222,life expectancy men Finland,75 years
223,year Games XV Olympiad held,1952
224,body water lies south Finland,Gulf Finland
225,Name animal growing number due recent conservation efforts,Golden Eagle Brown Bear Eurasian Lynx Change imperative interrogative
226,Today cell phone subscriptions people Finland,yes
227,Matti Vanhanen Prime Minister Finland,yes
228,capital city Oslo,
229,border Norway,yes
230,life expectancy men,75 years
231,biggest city Finland,Greater Helsinki
232,popular rock group Finland,CMX
233,Finlands economy like,highly industrialised freemarket economy
234,Finland located,Northern Europe
235,weather like summer,relatively warm
236,salmon remain favorite fly rod enthusiasts,Yes
237,cathedrals scattered across Finland,Yes
238,According Readers Digest Finland best living,Yes
239,first verifiable written documents appear,Twelfth Century
240,capital city,Helsinki
241,extensively celebrated holiday,Christmas
242,large proportion population speak Swedish mother tongue,
243,women live longer men,Yes
244,country Finland involved international conflict,Finland involved international conflicts border disputes
245,Ford member House Representatives,Yes
246,long Ford member House Representatives,eight years
247,Gerald Ford member Delta Kappa Epsilon,Yes
248,ford get award called Congressmans congressman,Yes
249,ford attend University Michigan,Yes
250,positions Ford played school football team,Center linebacker
251,Ford say biological father,abusive history hitting mother
252,Ford nominate Vice President,Bob Dole
253,Ford active Vietnamese affairs,
254,hard,hard
255,Fords wife married,Yes
256,Ford related assassination John F Kennedy,Yes
257,Gerald Ford 38th President United States,yes
258,Gerald Ford serve Republican Minority Leader House Representatives,yes
259,Ford Eagle Scout,yes
260,district Ford elected,Michigans 5th congressional district
261,many Eagle Scouts involved Fords funeral procession,400
262,future Heisman Trophy winner Ford tackle,Jay Berwanger
263,another US President Eagle Scout,
264,Ford need extra work pay college,yes
265,five Presidents lived past age 90,
266,kwajalein eniwetok relate,Monterey supported landings locations
267,Ford receive April 13 1942,Ford received commission ensign US Naval Reserve
268,Ford released hospital,Yes
269,Ford interred Presidential Museum Grand Rapids Michigan,Yes
270,Ford one four former Presidents live 90 years age,Yes
271,Ford last surviving member Warren Commission,Yes
272,Grand Rapids supporters urge take Bartel J Jonkman incumbent Republican congressman,
273,claim Ford pardon quid pro quo exchange Nixon resignation,claim Fords pardon quid pro quo
274,Ghana twice per capita output poorer countries West Africa,yes
275,English Ghanas official language,yes
276,Dutch build Elmina Castle,
277,Ghana achieve independence United Kingdom,1957
278,many regions Ghana divided,10
279,head state Ghana,President John Agyekum Kofuor
280,dominant religion Ghana,Christian
281,two subfamilies Native Ghanaian languages,Kwa Gur
282,weather like Lake Volta,Warm comparatively dry
283,Ghana Asia,
284,English official language,yes
285,Ghanas head state John Agyekum Kufuor,yes
286,word Ghana mean,warrior king
287,Kwame Nkrumah,founder first president
288,old Ghana relation present Ghana,500 miles north
289,makes Ghanas Parliament,New Patriotic Party National Democratic Congress
290,European countries established states Ghana,UK
291,Gray Wolf share ancestry domestic dog,Yes
292,wolf pups tend darker fur adults,Yes
293,wolves leave pack,Yes
294,kinds coats wolves,bulky coats two layers
295,wolves scent glands,Helping woldf effectively navigate large expanses concurrently keeping others informed whereabouts
296,much wolves weigh,typically varies 32 62 kilograms
297,wolves howl,Howling helps pack members keep touch allowing communicate effectively thickly forested areas great distances Howling also helps call pack members specific location Howling also serve declaration territory shown dominant wolfaposs tendency respond human imitation rival wolf area wolf considers
298,surplus killing,Surplus killing defined killing several prey animals numerous eat one sitting
299,Gray Wolves native North America,Yes
300,Gray Wolf mammal,Yes
301,wolfs teeth main weapons,Yes
302,wolves built stamina,Yes
303,largest gray wolf population thought found,Kazakhstan
304,genus gray wolf belong,Canis
305,wolves molt,Late Spring Early Summer
306,beneficial alpha males females forcefully prevent wolves mating,pack suppport one littler per year
307,type tools biologists use capture wolves tagging,Darting Foot hold traps
308,Forward erect ears slightly bristle hackles sign wolves,Dominance
309,Grover Cleveland born New York,
310,Grover Cleveland win 1884 election,yes
311,Grover Cleveland support womens suffrage,
312,Grover Cleveland married,White House
313,Cleveland die,heart attack
314,many years Cleveland left office US win SpanishAmerican War,One Year
315,Clevelands opponents say 1884 counter innocent image,fathered illegitimate child
316,Cleveland run 1884,former Senator James G Blaine Maine
317,Cleveland want hide cancer surgery public,avoid market panic
318,Grover Cleveland twentyseventh president United States,
319,Grover Cleveland honest,Yes
320,Grover Cleveland married whitehouse,Yes
321,elected sheriff Erire County New York,Yes
322,die,June 24 1908
323,election Grover Cleveland win,1884 1892 presidential elections
324,Grover Clevelands parents,Cleveland born Caldwell New Jersey Reverend Richard Cleveland Anne Neal
325,many children Grover Cleveland,5
326,lost control party agrarians silverites 1896,Grover Cleveland
327,true sent federal troops chicago,yes
328,Cleveland born Caldwell New Jersey Reverend Richard Cleveland Anne Neal,yes
329,Grover Cleveland elected Sheriff Erie County New York,yes
330,Cleveland portrait US 1000 bill 1928 1946,yes
331,buried Princeton Cemetery Nassau Presbyterian Church,yes
332,Department Interior charge rights way land must returned public railroads failed extend lines according agreements,yes
333,team sedating Cleveland nitrous oxide LRB laughing gas RRB remove upper left jaw portions hard palate,yes
334,became chief engineer Department Bridges Highways year,1894
335,led Becquerel investigate spontaneous emission nuclear radiation,phographic plates fully exposed
336,true married louise désirée lorieux 1890,yes
337,true shared nobel prize physics,yes
338,marry louise désirée lorieux,1890
339,Becquerel elected Permanent Secretary Académie des Sciences,yes
340,Becquerel born Paris family including son Jean produced four generations scientists,yes
341,1903 Nobel Prize Physics discovering radioactivity,Henri Becquerel
342,die age 55 Le Croisic,Yes died age 55
343,one places phosphorescent substance paper piece money metal screen pierce cutout design,yes
344,happened 1896,Becquerel accidentally discovered radioactivity
345,happened bromide emulsion two sheets thick black paper,plate become clouded upon exposed sun day
346,becquerel crater moon becquerel crater mars,yes
347,Javanese largest politically dominant ethnic group Indonesia,yes
348,Indonesia monarchy presidential system,
349,Japanese invasion subsequent occupation WWII end Dutch rule,yes
350,year East Timor secede Indonesia,1999
351,Islam become dominant religion Java Sumatra,end 16th century
352,Indonesia worlds hightest level biodiversity,
353,Indonesia named became independent country,
354,Indonesia break relations Peoples Republic China,anticommunist purges early Suharto era
355,spice originally attracted Europeans Indonesia,nutmeg cloves cubeb pepper
356,Jakarta,Indonesias special capital region
357,shares land borders Papua New Guinea East Timor Malaysia,Indonesia
358,largest politically dominant ethnic group,Javanese
359,happens srivijaya kingdom formed trade links,indonesian archipelago became important trade region
360,true indonesia vast areas wilderness,yes
361,Indonesia republic,yes
362,Sports Indonesia generally maleorientated,yes
363,Indonesia worlds largest archipelagic state,yes
364,sports Indonesia generally maleorientated spectator sports often associated illegal gambling,yes
365,Pencak Silat Indonesian martial art,yes
366,Indonesia world largest Muslim population,yes
367,political legislature governor,province
368,world largest archipelagic state,yes
369,world fourth populous country populous muslimmajority nation,yes
370,indonesia republic,yes
371,James Monrow fifth president US,Yes
372,first word page,James
373,first number page,28
374,Monroes presidency expired,March 4 1825
375,Monroes fathers name,Spence
376,Monroes daughters name,Maria Hester Monroe Gouverneur
377,Era Good Feelings refers,Reduced tension
378,Monroe wedding happen Trinity Church New York,Yes
379,Monroe Doctrine,doctrine declaring US opposition European interference Americas
380,James Monroe President United States,yes
381,James Monroe attend College William Mary,yes
382,James Monroe fight Continental Army,yes
383,James Monroe born,Westmoreland County Virginia
384,James Monroe shot,Battle Trenton left shoulder
385,James Monroe marry,Elizabeth Kortright
386,James Monroe elected governor,practiced law Virginia
387,years John Monroe elected President,18171825
388,John Monroe standing behind painting Washington Crossing Delaware,George Washington
389,James Monroe appointed Secretary War,1814
390,James Monroe die,July 4 1831
391,James Monroe graduate William Mary,1776
392,James Monroe elected president,Monroe elected president election 1816 reelected 1820
393,property James Monroe sell 1817,Monroe Hill grounds University Virginia
394,James Monroe introduce Monroe Doctrine,December 2 1823
395,James Monroe live New York City,daughter Maria Hester Monroe Gouverneur
396,James Monroes letters contain,letters survive might discussed religious beliefs
397,result rejection Jay Treaty,result two nations moved closer toward War 1812
398,depicted holding flag famous painting Washington Crossing Delaware,Monroe
399,dwindled eventually died starting Hartford Convention,Federalist Party
400,true practiced law fredericksburg,yes
401,James Monroe make 1817,two long tours
402,Monroe anticlerical,
403,Monroe appointed Minister France 1794 1796,yes
404,expired March,Monroes presidency
405,Monroe racked many debts years public life,yes
406,dismantled partisan sectional coalitions,many congressmen
407,happened 1811,Monroe returned Virginia House Delegates elected another term governor Virginia
408,happened election 1816,Monroe elected president
409,died childbirth 1772,Margaret Miller
410,died 1832,Margaret Miller
411,watt commemorated statuary George Square Glasgow Princes Street Edinburgh,Yes
412,watt gentleman greatly respected prominent men Industrial Revolution,Yes
413,watt fellow Royal Society Edinburgh Royal Society London,Yes
414,Four years opening shop Watt began,Watt began experiment steam friend Professor John Robison called attention
415,Watt ranked 22nd Michael H Hart list influential figures history,Yes
416,John Adams represent Continental Congress Europe,Yes
417,Adams raised Congregationalist,Yes
418,Adams opponent Stamp Act,Yes
419,Adams graduate college,1755
420,committee Adams draft Declaration Independence,Thomas Jefferson Benjamin Franklin Robert R Livingston Roger Sherman
421,Jefferson call John Adams,Colossus Independence
422,Adams political party,Federalist Party
423,Adams first introduce bicameral legislature,Yes
424,John Adams get along Alexander Hamilton,
425,John Adams go Harvard,yes
426,John Adams support Stamp Act 1765,
427,Adams birthplace part national park,yes
428,John Adams serve Vice President,17891797
429,party Adams run presidency,Federalist Party
430,Adams buried,United First Parish Church
431,midnight judges,series judges called formally appointed days Adams presidential term expired
432,ways Adams opposed Anderw Hamilton,Hamilton wanted control army differently Adams
433,information record diary,Descriptions events ompressions men
434,defeated reelection Revolution 1800 Thomas Jefferson,John Adams
435,represented Continental Congress Europe,John Adams
436,part Adams National Historical Park,John Adams birthplace
