,Passage
0,Uruguay official full name pron Eastern Republic Uruguay country located southeastern part South America home 33 million people 17 million live capital Montevideo metropolitan area
1,bordered Brazil north Argentina across bank Uruguay River west estuary RÃo de la Plata southwest South Atlantic Ocean southeast second smallest independent country South America larger Suriname French overseas department French Guiana
2,Montevideo founded Spanish early 18th century military stronghold Uruguay independence 1828 following threeway struggle Spain Argentina Brazil constitutional democracy president fulfills roles head state head government
3,economy largely based agriculture making 10 GDP substantial export statesector relies heavily world trade Consequently badly affected downturn global prices However economy whole stable surrounding states maintains solid reputation investors
4,According Transparency International Uruguay second least corrupt country Latin America Chile Transparencyorg political labor conditions among freest continent
5,November 2007 became first Latin American country second American Continent recognize samesex civil unions national level Uruguay Passes CivilUnion Law San Francisco Bay Times December 6 2007
6,88 population European descent twothirds population declared Roman Catholics However majority Uruguayans nominally religious CIA World Factbook Uruguay
7,name Uruguay comes GuaranÃ many possible meanings proposed meanings
8,River colorful painted chinchillas birds poetic interpretation attributed Juan Zorrilla de San MartÃn
9,River bring food anonymous version popularized since discovery old document written Jesuit Lucas Marton
10,inhabitants Uruguay European colonization area various tribes hunter gatherer native Americans well known CharrÃºa Indians small tribe driven south GuaranÃ Indians Paraguay population estimated 5000 10000 ref
11,Plaza Independencia Independence Square Montevideo hosts tomb JosÃ Artigas late leader Provincia Oriental Liga Federal front square Palacio Salvo seen
12,Europeans arrived territory presentday Uruguay year 1536 absence gold silver limited settlement region 16th 17th centuries Uruguay became zone contention Spanish Portuguese empires 1603 Spanish began introduce cattle became source wealth region ref first permanent settlement territory presentday Uruguay founded Spanish 1624 Villa Soriano southwestern coast RÃo Negro 1680 Portuguese built fort Colonia del Sacramento ref Spanish colonization increased Spain sought limit Portugals expansion Brazils frontiers
13,Another segment colonial Uruguays population consisted people African descent Colonial Uruguays African community grew number members escaped harsh treatment Buenos Aires Many relocated Montevideo larger black community seemed lest hostile politically Buenos Aires favorable climate lower humidity
14,province Viceroyalty La Plata colonial Uruguay known Banda Oriental Eastern Strip referring location east Rio Uruguay inhabitants called Easterners Orientales term still commonly use refer
15,Uruguays capital Montevideo founded Spanish early 18th century military stronghold natural harbor soon developed commercial center competing Argentinas capital Buenos Aires Uruguays early 19th century history shaped ongoing conflicts British Spanish Portuguese colonial forces dominance ArgentinaBrazilUruguay region ref 1806 1807 British army attempted seize Buenos Aires part war Spain result beginning 1807 Montevideo occupied 10000strong British force held middle year left attack Buenos Aires
16,Uruguayans road independence much longer countries Americas Early efforts attaining independence focused overthrow Spanish rule process begun Jose Gervasio Artigas 1811 led forces victory Spanish battle Las Piedras May 18 1811 1816 Portuguese troops invaded presentday Uruguay led eventual annexation Brazil 1821 provincial name Provincia Cisplatina April 19 1825 thirtythree Uruguayan exiles led Juan Antonio Lavalleja returned Buenos Aires lead insurrection Uruguay help Argentine troops known Treinta Tres Orientales actions inspired representatives Uruguay meet La Florida town recently liberated area declared independence Portugal therefore Brazil August 25 1825 Uruguayan independence recognized neighbors 1828 Britain search new commercial markets brokered peace Argentina Brazil Uruguay ref
17,RÃo de la Plata 1603
18,Uruguays politics takes place framework presidential representative democratic republic whereby President Uruguay head state head government pluriform multiparty system Executive power exercised government Legislative power vested government two chambers General Assembly Uruguay Judiciary independent executive legislature
19,Uruguays history Partido Colorado Partido Blanco alternated power Partido Blanco roots countryside original settlers Spanish origin cattle ranchers Partido Colorado roots port city Montevideo new immigrants Italian origin backing foreign interests Partido Colorado built welfare state financed taxing cattle revenue giving state pickles free services new urban immigrants became dependent state elections 2004 however brought Frente Amplio coalition socialists former Tupamaros former communists mainly social democrats among others power majorities houses parliament election President TabarÃ VÃzquez absolute majority
